recipe_id,dish_name,english_name,region,description,ingredients,instructions,prep_minutes,cook_minutes,servings,tags,allergens,substitutions,tips,source
R023,Asinan Betawi,Pickled vegetable salad,Jakarta,Tangy chilled pickled vegetables in peanut chili broth,cabbage; cucumber; bean sprouts; peanuts; vinegar; chili,Make sweet sour dressing; chill vegetables; combine before serving,20,0,4,vegan; gluten-free,peanut,Use seed butter for peanut allergy,Serve very cold,Original project recipe
R024,Klepon,Palm sugar rice balls,Java,Chewy pandan rice balls bursting with palm sugar,glutinous rice flour; pandan; palm sugar; coconut,Fill rice dough with sugar; boil until floating; roll in coconut,20,10,4,vegan; gluten-free,coconut,Use brown sugar if palm sugar unavailable,Seal dough completely to prevent leaks,Original project recipe
R025,Dadar Gulung,Green coconut pancakes,Java,Soft pandan crepes filled with sweet coconut,pandan; flour; coconut; palm sugar; coconut milk,Make crepes; cook coconut filling; roll tightly,20,20,6,vegan,coconut; gluten,Use gluten-free flour blend,Cool filling before rolling,Original project recipe
R026,Serabi,Coconut rice flour pancakes,West Java,Small tender pancakes with coconut topping,rice flour; coconut milk; pandan; palm sugar,Cook batter in small pan; top with sweet coconut sauce,15,25,6,vegetarian; gluten-free,coconut,Use dairy milk only if desired,Keep pan covered for a soft center,Original project recipe
R027,Getuk,Cassava cake,Central Java,Mashed cassava sweetened and colored in bright layers,cassava; sugar; coconut; salt,Steam cassava; mash with sugar; shape and top with coconut,20,35,6,vegan; gluten-free,coconut,Use sweet potato for variation,Remove cassava fibers before mashing,Original project recipe
R028,Tempeh Mendoan,Soft fried tempeh,Central Java,Thin tempeh fritters served soft and fragrant,tempeh; flour; scallion; coriander; turmeric,Mix batter; coat tempeh; fry briefly until pale,10,15,4,vegan,soy; gluten,Use chickpea flour for gluten-free,Fry only until soft not crunchy,Original project recipe
R029,Opor Ayam,Coconut chicken stew,Central Java,Gentle creamy chicken stew scented with galangal,chicken; coconut milk; galangal; coriander; lemongrass,Simmer chicken in ground spices and coconut milk until tender,20,50,4,halal; gluten-free,coconut,Use tofu for vegetarian version,Serve with rice cakes for Eid,Original project recipe
R030,Sambal Goreng Kentang,Spicy potato sambal,Java,Fried potato cubes in a sweet spicy chili sauce,potato; chili; shallot; garlic; tamarind; kecap manis,Fry potatoes; simmer spice paste; toss together,15,30,4,vegan; gluten-free,soy,Use sweet potato,Add potatoes last to keep them crisp,Original project recipe
R031,Gulai Kambing,Goat curry,Sumatra,Robust goat curry with warm spices and coconut milk,goat; coconut milk; cardamom; cinnamon; chili; ginger,Brown goat; simmer with spices and coconut milk until tender,25,120,6,halal; gluten-free,coconut,Use lamb shoulder,Skim fat from broth as it cooks,Original project recipe
R032,Ayam Taliwang,Lombok grilled chicken,Lombok,Hot grilled chicken coated with chili garlic paste,chicken; dried chili; garlic; shrimp paste; lime,Grill chicken; brush with chili paste; grill again until charred,20,35,4,halal; dairy-free,shellfish,Use miso instead of shrimp paste,Adjust chili to your heat preference,Original project recipe
R033,Nasi Padang,West Sumatran rice platter,West Sumatra,Rice served with a selection of richly spiced side dishes,rice; beef rendang; chicken curry; cassava leaves; sambal,Prepare rice and selected side dishes; arrange as a platter,20,60,4,halal; gluten-free,coconut,Choose vegetarian side dishes for a plant-based platter,Serve several small dishes for variety,Original project recipe
R034,Cap Cay,Indonesian mixed vegetable stir-fry,Chinese Indonesian,Colorful vegetables stir-fried in a light savory sauce,carrot; broccoli; cabbage; mushroom; garlic; soy sauce,Stir-fry garlic and firm vegetables; add sauce and tender greens,15,15,4,vegetarian,soy,Use tamari for gluten-free,Keep vegetables crisp,Original project recipe
R035,Semur Ayam,Sweet soy braised chicken,Betawi,Chicken braised in warm spices and sweet soy sauce,chicken; kecap manis; nutmeg; clove; potato; shallot,Brown chicken; add spices and soy; simmer with potato,15,50,4,halal; dairy-free,soy,Use tofu or mushrooms,Add water gradually while braising,Original project recipe
R036,Ikan Bakar,Indonesian grilled fish,Java,Charred fish glazed with sweet spicy sambal,whole fish; lime; turmeric; kecap manis; chili,Marinate fish; grill and brush with sauce until cooked,20,25,4,halal; dairy-free,fish; soy,Use firm fillets,Oil the grill grate well,Original project recipe
R037,Pepes Ikan,Banana leaf steamed fish,West Java,Spiced fish gently steamed in banana leaf parcels,fish; banana leaves; turmeric; basil; tomato; chili,Wrap seasoned fish in leaves; steam until flaky,20,30,4,halal; gluten-free,fish,Use parchment if banana leaves unavailable,Briefly soften leaves over heat,Original project recipe
R038,Sayur Asem,Tamarind vegetable soup,West Java,Refreshing sour vegetable soup with tamarind and corn,corn; chayote; long beans; tamarind; peanuts,Simmer corn and vegetables; season with tamarind broth,15,35,4,vegan; gluten-free,peanut,Omit peanuts if needed,Add tender vegetables last,Original project recipe
R039,Perkedel Kentang,Indonesian potato fritters,Java,Seasoned mashed potato patties fried golden,potato; egg; nutmeg; celery; shallot,Mash cooked potatoes; form patties; dip in egg and fry,20,25,4,vegetarian,egg,Use flax egg for binding,Chill patties before frying,Original project recipe
R040,Bubur Ayam,Chicken rice porridge,Java,Comforting savory rice porridge with shredded chicken,rice; chicken; ginger; scallion; crackers,Simmer rice until porridge; top with seasoned chicken and garnishes,15,60,4,halal; dairy-free,gluten,Use rice crackers for gluten-free,Stir porridge frequently,Original project recipe
R041,Laksa Bogor,Spiced noodle soup,Bogor,Coconut noodle soup with chicken and herbal spices,chicken; rice noodles; coconut milk; turmeric; lime,Simmer aromatic broth; add chicken and noodles; garnish with lime,20,40,4,halal; gluten-free,coconut,Use tofu for vegetarian version,Serve broth piping hot,Original project recipe
R042,Ketoprak,Jakarta tofu noodle salad,Jakarta,Rice noodles tofu and sprouts with peanut sauce,rice noodles; tofu; bean sprouts; peanut sauce; crackers,Assemble noodles tofu and sprouts; cover with dressing,15,10,4,vegetarian; dairy-free,peanut,Use seed butter,Add crackers at the table,Original project recipe
R043,Tahu Tek,Fried tofu peanut salad,Surabaya,Fried tofu and rice cake with peanut petis sauce,tofu; rice cake; egg; peanuts; bean sprouts,Fry tofu and egg; combine with sauce and sprouts,15,15,2,vegetarian,peanut; egg,Use mushrooms instead of egg,Serve immediately,Original project recipe
R044,Lumpia Semarang,Semarang spring rolls,Central Java,Crisp rolls filled with bamboo shoots and chicken,wrappers; bamboo shoots; chicken; garlic; egg,Make filling; roll tightly; fry until crisp,25,20,4,halal,gluten; egg,Use tofu filling,Keep wrappers covered while working,Original project recipe
R045,Bakwan Jagung,Corn fritters,Java,Crisp savory corn and herb fritters,corn; flour; scallion; coriander; egg,Mix batter; spoon into hot oil; fry golden,10,20,4,vegetarian,gluten; egg,Use chickpea flour and omit egg,Fry in small batches,Original project recipe
R046,Combro,Cassava chili fritters,West Java,Grated cassava parcels filled with spicy fermented soybean,cassava; oncom; chili; garlic; scallion,Fill cassava dough; shape and fry until crisp,25,20,4,vegan; gluten-free,soy,Use tempeh if oncom unavailable,Squeeze moisture from cassava,Original project recipe
R047,Otaku Otaku,Grilled fish cake,Southeast Asia,Fragrant fish paste grilled in banana leaf,fish; coconut milk; banana leaf; chili; lime leaf,Blend fish paste; wrap in leaves; grill until set,25,20,4,pescatarian; gluten-free,fish; coconut,Use parchment for leaves,Do not overcook fish paste,Original project recipe
R048,Beef Balado,Chili fried beef,West Sumatra,Crisp beef slices tossed with vivid red chili relish,beef; chili; tomato; shallot; lime,Fry beef; blend and fry sambal; toss together,20,35,4,halal; dairy-free,none,Use mushrooms for vegetarian version,Fry sambal until fragrant,Original project recipe
R049,Dendeng Batokok,Smacked dried beef,West Sumatra,Thin beef with hot green chili sauce,beef; green chili; shallot; lime; garlic,Boil and flatten beef; fry; cover with green sambal,25,60,4,halal; dairy-free,none,Use flank steak,Pound beef while warm,Original project recipe
R050,Soto Betawi,Jakarta beef soup,Jakarta,Creamy beef soup with warm spices and tomato,beef; coconut milk; tomato; potato; cardamom,Simmer beef; add aromatic creamy broth; serve with rice,20,90,4,halal; gluten-free,coconut,Use dairy-free coconut only,Add coconut milk near the end,Original project recipe
R051,Soto Banjar,Banjarese chicken soup,South Kalimantan,Clear chicken soup scented with cinnamon and clove,chicken; vermicelli; cinnamon; clove; egg,Simmer chicken broth with spices; serve with noodles,15,45,4,halal,dairy-free; egg,Use rice noodles,Keep garnish separate,Original project recipe
R052,Coto Makassar,Beef offal soup,South Sulawesi,Hearty peanut-thickened beef soup,beef; peanut; galangal; lemongrass; rice cakes,Simmer beef until tender; blend peanut spices into broth,25,120,6,halal; dairy-free,peanut,Use beef only without offal,Serve with lime and rice cakes,Original project recipe
R053,Pallubasa,Creamy Makassar beef soup,South Sulawesi,Spiced beef soup enriched with toasted coconut,beef; coconut; chili; coriander; rice,Simmer beef and spices; stir in toasted coconut,25,120,6,halal; gluten-free,coconut,Use lamb shoulder,Toast coconut carefully,Original project recipe
R054,Tinutuan,Manado vegetable porridge,North Sulawesi,Rice porridge packed with pumpkin corn and greens,rice; pumpkin; corn; spinach; basil,Cook rice with vegetables until soft; season and serve,15,60,4,vegan; gluten-free,none,Use kale for spinach,Add greens at the end,Original project recipe
R055,Ikan Woku,Manado herb fish,North Sulawesi,Hot aromatic fish stew with basil and turmeric,fish; basil; turmeric; tomato; chili; lime,Simmer spice paste and fish gently; finish with basil,20,25,4,halal; gluten-free,fish,Use shrimp or tofu,Do not stir fish too much,Original project recipe
R056,Gohu Ikan,North Maluku fish salad,North Maluku,Citrusy raw fish salad with chili and coconut,tuna; lime; chili; shallot; coconut,Cure fish in lime; mix with aromatics and coconut,20,0,4,pescatarian; gluten-free,fish; coconut,Use sashimi-grade fish only,Keep fish very cold,Original project recipe
R057,Papeda,Sago porridge,Maluku and Papua,Stretchy sago porridge served with fish broth,sago flour; water; fish broth; lime,Whisk sago with boiling water until translucent; serve with broth,10,15,4,gluten-free,fish,Serve with vegetable broth,Stir continuously for smooth texture,Original project recipe
R058,Ikan Kuah Kuning,Yellow turmeric fish soup,Maluku,Light bright fish soup with turmeric and lime,fish; turmeric; lime; basil; tomato,Simmer aromatics; poach fish; finish with lime,15,25,4,halal; gluten-free,fish,Use firm white fish,Do not boil fish aggressively,Original project recipe
R059,Ayam Rica Rica,Manado spicy chicken,North Sulawesi,Fiery chicken braised with herbs and chili,chicken; chili; lemongrass; ginger; lime leaf,Fry spice paste; simmer chicken until coated,20,50,4,halal; dairy-free,none,Use tofu for vegetarian version,Adjust chili carefully,Original project recipe
R060,Gepuk,Sweet fried beef,West Java,Tender coriander beef fried after braising,beef; coconut milk; coriander; palm sugar; garlic,Braise beef in spices; shred or slice; fry briefly,20,100,4,halal; gluten-free,coconut,Use jackfruit for variation,Fry only just before serving,Original project recipe
R061,Karedok,Raw Sundanese vegetable salad,West Java,Raw crunchy vegetables in fresh peanut dressing,cucumber; bean sprouts; cabbage; peanuts; basil,Slice vegetables; pound dressing; combine just before eating,20,0,4,vegan; gluten-free,peanut,Use seed butter,Wash vegetables thoroughly,Original project recipe
R062,Nasi Kuning,Turmeric yellow rice,Java,Celebratory fragrant yellow coconut rice,rice; turmeric; coconut milk; pandan; lemongrass,Cook rice with turmeric coconut and aromatics,10,35,4,vegan; gluten-free,coconut,Use vegetable stock,Use fresh turmeric for vivid color,Original project recipe
R063,Nasi Kebuli,Arab Indonesian spiced rice,Jakarta,Fragrant spiced rice with tender lamb,rice; lamb; cardamom; clove; ghee; raisins,Brown lamb; cook rice in spiced broth; fold in raisins,20,70,6,halal,dairy,Use olive oil for ghee,Rest rice before serving,Original project recipe
R064,Gudeg,Young jackfruit stew,Yogyakarta,Sweet young jackfruit braised slowly in coconut milk,jackfruit; coconut milk; palm sugar; teak leaf; garlic,Simmer jackfruit with spices until dark and tender,20,180,6,vegan; gluten-free,coconut,Use canned young jackfruit,Cook a day ahead for deeper flavor,Original project recipe
R065,Sate Lilit,Balinese minced fish satay,Bali,Minced fish molded onto lemongrass skewers,fish; coconut; lemongrass; lime leaf; turmeric,Mix fish paste; mold on stalks; grill until firm,25,20,4,pescatarian; gluten-free,fish; coconut,Use chicken mince,Oil hands before shaping,Original project recipe
R066,Lawar,Balinese vegetable salad,Bali,Chopped vegetables with coconut and Balinese spices,green beans; coconut; lime leaf; chili; shallot,Blanch beans; mix with toasted coconut and spice paste,20,10,4,vegan; gluten-free,coconut,Omit traditional raw meat additions,Serve fresh,Original project recipe
R067,Klappetaart,Manado coconut custard,North Sulawesi,Baked coconut custard with raisins and cinnamon,coconut; milk; egg; flour; raisins,Bake custard until set and golden,20,45,6,vegetarian,dairy; egg; gluten,Use gluten-free flour,Chill before slicing,Original project recipe
R068,Pisang Goreng,Fried banana,Indonesia,Crisp battered ripe banana fritters,banana; flour; rice flour; sugar; oil,Mix batter; coat banana; fry until golden,10,15,4,vegan,gluten,Use gluten-free flour,Use ripe firm bananas,Original project recipe
R069,Kolak Pisang,Banana coconut dessert,Java,Bananas simmered in coconut palm sugar syrup,banana; coconut milk; palm sugar; pandan,Simmer syrup; add bananas gently; serve warm,10,20,4,vegan; gluten-free,coconut,Use sweet potato too,Do not overcook bananas,Original project recipe
R070,Bubur Sumsum,Coconut rice pudding,Java,Silky rice flour pudding with palm sugar syrup,rice flour; coconut milk; palm sugar; pandan,Cook pudding until thick; make syrup; serve together,10,20,4,vegan; gluten-free,coconut,Use vanilla if pandan unavailable,Whisk constantly,Original project recipe
R071,Wedang Jahe,Ginger tea,Java,Warming ginger drink with palm sugar and lemongrass,ginger; palm sugar; lemongrass; water,Simmer bruised ginger and sugar; strain and serve,5,20,4,vegan; gluten-free,none,Add lime for brightness,Serve hot,Original project recipe
R072,Bajigur,West Javanese coconut drink,West Java,Warm sweet coconut drink with ginger,coconut milk; palm sugar; ginger; pandan,Simmer all ingredients gently; strain and serve,5,15,4,vegan; gluten-free,coconut,Use oat milk for coconut-free,Do not let coconut milk boil,Original project recipe
R073,Siomay Bandung,Steamed fish dumplings,West Java,Steamed fish dumplings with peanut sauce,fish; tapioca starch; potato; cabbage; peanuts,Steam dumplings and vegetables; serve with sauce,30,25,4,pescatarian,fish; peanut,Use tofu dumplings,Steam until springy,Original project recipe
R074,Batagor,Fried tofu dumplings,West Java,Crisp fried tofu and fish dumplings with peanut sauce,tofu; fish; wrappers; peanuts; scallion,Fill tofu and wrappers; fry crisp; serve with sauce,30,20,4,pescatarian,fish; peanut; gluten,Use tofu-only filling,Fry at steady medium heat,Original project recipe
R075,Indomie Goreng,Instant noodle stir-fry,Indonesia,Quick savory fried instant noodle meal,instant noodles; egg; scallion; cabbage; chili,Boil noodles briefly; stir-fry with seasoning and egg,5,10,1,vegetarian,gluten; egg,Use rice noodles and homemade sauce,Keep noodles slightly undercooked,Original project recipe
R076,Tahu Bacem,Sweet braised tofu,Central Java,Tofu braised in palm sugar and coriander,tofu; palm sugar; coriander; garlic; tamarind,Simmer tofu in seasoned liquid; fry briefly if desired,10,35,4,vegan; gluten-free,soy,Use tempeh,Reduce liquid until flavorful,Original project recipe
R077,Tempeh Kecap,Sweet soy tempeh,Java,Tempeh stir-fried with sweet soy and chili,tempeh; kecap manis; chili; shallot; garlic,Fry tempeh; stir-fry aromatics; glaze with soy,10,20,4,vegan,soy,Use tamari and brown sugar,Fry tempeh first,Original project recipe
R078,Sayur Lodeh,Coconut vegetable stew,Java,Vegetables simmered in mild coconut broth,eggplant; long beans; tofu; coconut milk; galangal,Simmer aromatics and vegetables in coconut milk,15,35,4,vegan; gluten-free,coconut; soy,Use any firm seasonal vegetables,Add tofu near the end,Original project recipe
R079,Oseng Oseng Mercon,Fiery beef stir-fry,Yogyakarta,Very spicy beef stir-fry with many chilies,beef; chili; garlic; shallot; kecap manis,Stir-fry beef and spice paste until dry and hot,20,35,4,halal; dairy-free,soy,Use mushrooms,Start with fewer chilies,Original project recipe
R080,Sop Buntut,Indonesian oxtail soup,Jakarta,Clear aromatic oxtail soup with vegetables,oxtail; carrot; potato; nutmeg; clove,Simmer oxtail until tender; add vegetables and spices,25,180,6,halal; dairy-free,none,Use beef shank,Skim broth for clarity,Original project recipe
